regime,dataset,h,family,metric,n,baseline_L2,baseline_L8,pairnorm_L2,pairnorm_L8,baseline_depth_change,pairnorm_depth_change,interaction,positive_interactions,signflip_p,pairnorm_L8_effect
lowlabel,Roman-Empire,0.5,GCN,mean_pairwise_cosine_distance,5,0.49351919889450074,0.6611896634101868,0.9988573074340821,0.9960503220558167,0.16767046451568604,-0.0028069853782653363,-0.1704774498939514,0,0.0625,0.33486065864562986
lowlabel,Roman-Empire,0.5,GraphSAGE,normalized_dirichlet_energy,5,0.9187157583128688,0.2842386859263725,1.3453478835744972,0.7258766149029532,-0.6344770723864963,-0.619471268671544,0.015005803714952293,4,0.75,0.4416379289765807
lowlabel,Roman-Empire,0.5,GraphSAGE,effective_rank_ratio,5,0.3715966045856476,0.0904622003436088,0.6016912341117859,0.15645909607410427,-0.2811344042420388,-0.4452321380376816,-0.16409773379564285,0,0.0625,0.06599689573049547
lowlabel,Roman-Empire,0.5,GraphSAGE,mean_pairwise_cosine_distance,5,0.6482547163963318,0.844292688369751,0.9992716789245606,0.9972719669342041,0.19603797197341918,-0.0019997119903564452,-0.19803768396377563,0,0.0625,0.15297927856445315
lowlabel,Roman-Empire,0.9,GCN,normalized_dirichlet_energy,5,0.2108268341875132,0.03213197290487724,0.5329518903216365,0.08213605138646114,-0.17869486128263595,-0.45081583893517524,-0.2721209776525393,0,0.0625,0.050004078481583905
lowlabel,Roman-Empire,0.9,GCN,effective_rank_ratio,5,0.172324389219284,0.060667497664689984,0.42977296710014345,0.13426464200019833,-0.11165689155459405,-0.2955083250999451,-0.18385143354535108,0,0.0625,0.07359714433550833
lowlabel,Roman-Empire,0.9,GCN,mean_pairwise_cosine_distance,5,0.4591073751449585,0.8403083682060242,0.9995749473571778,0.9950942039489746,0.3812009930610657,-0.004480743408203103,-0.3856817364692688,0,0.0625,0.15478583574295046
lowlabel,Roman-Empire,0.9,GraphSAGE,normalized_dirichlet_energy,5,0.39379384516800897,0.08203869933619094,0.912346454216945,0.18707063761202536,-0.311755145831818,-0.7252758166049198,-0.41352067077310173,0,0.0625,0.10503193827583442
lowlabel,Roman-Empire,0.9,GraphSAGE,effective_rank_ratio,5,0.2858153998851776,0.07788027450442311,0.560625159740448,0.13419943153858177,-0.20793512538075448,-0.42642572820186614,-0.2184906028211117,0,0.0625,0.056319157034158684
lowlabel,Roman-Empire,0.9,GraphSAGE,mean_pairwise_cosine_distance,5,0.5324318885803223,0.8605968356132507,0.9996983289718628,0.9975224494934082,0.3281649470329285,-0.0021758794784545897,-0.3303408265113831,0,0.0625,0.1369256138801575
