dataset,model,graph_seed,init_seed,lr,test_best,best_val,nde,effective_rank,rank_ratio,pairwise
PubMed,GraphSAGE,5,29,0.03,0.39936748147010803,0.3995943069458008,1.5795425373835436e-15,1.8998472690582275,0.0148425567895174,-1.1920928955078125e-07
PubMed,GraphSAGE,5,47,0.03,0.39936748147010803,0.3995943069458008,1.2680323439598426e-19,1.0073634386062622,0.0078700268641114,0.0
PubMed,GraphSAGE,5,65,0.03,0.39936748147010803,0.3995943069458008,2.442967319561592e-20,1.001336932182312,0.0078229447826743,1.1920928955078125e-07
PubMed,GraphSAGE,5,83,0.03,0.39936748147010803,0.3995943069458008,0.0,1.000070095062256,0.0078130476176738,1.1920928955078125e-07
Roman-Empire,GraphSAGEPairNorm,1,11,0.001,0.35809582471847534,0.36584290862083435,1.3281894080949348,16.982532501220703,0.1326760351657867,0.9880415201187134
Roman-Empire,GraphSAGEPairNorm,1,29,0.001,0.3493744432926178,0.3618711531162262,1.4176267299303758,16.142881393432617,0.1261162608861923,0.9864296913146972
Roman-Empire,GraphSAGEPairNorm,1,47,0.001,0.35575973987579346,0.3645189702510834,1.4220107846588568,16.406240463256836,0.128173753619194,0.9854848384857178
Roman-Empire,GraphSAGEPairNorm,1,65,0.001,0.3352021872997284,0.3459841012954712,1.324306664730652,15.252084732055664,0.1191569119691848,0.9875386357307434
Roman-Empire,GraphSAGEPairNorm,1,83,0.001,0.3435082733631134,0.34907326102256775,1.3699462680126138,15.322494506835938,0.1197069883346557,0.9854711890220642
Roman-Empire,GraphSAGE,1,11,0.001,0.42205265164375305,0.42762577533721924,1.7575219917866929,4.60342264175415,0.0359642393887043,0.8509849905967712
Roman-Empire,GraphSAGE,1,29,0.001,0.42667290568351746,0.4386584460735321,1.718348516540646,4.491583824157715,0.0350904986262321,0.8341742753982544
Roman-Empire,GraphSAGE,1,47,0.001,0.4160826504230499,0.433362752199173,1.7196104347892571,4.71089506149292,0.0368038676679134,0.8345241546630859
Roman-Empire,GraphSAGE,1,65,0.001,0.39957430958747864,0.4139452874660492,1.4696464579676296,4.140899658203125,0.0323507785797119,0.7946136593818665
Roman-Empire,GraphSAGE,1,83,0.001,0.40632298588752747,0.4232127070426941,1.6303864655434597,4.7637248039245605,0.0372166000306606,0.8255770802497864
Roman-Empire,GraphSAGEPairNorm,1,11,0.003,0.44105279445648193,0.45101499557495117,1.544548906834477,18.35701942443848,0.1434142142534256,0.9987691640853882
Roman-Empire,GraphSAGEPairNorm,1,29,0.003,0.43409645557403564,0.448808491230011,1.4159384977565137,18.48007583618164,0.144375592470169,0.9987168312072754
Roman-Empire,GraphSAGEPairNorm,1,47,0.003,0.44951459765434265,0.46248897910118103,1.4918310254733054,18.13142204284668,0.1416517347097396,0.9957500100135804
Roman-Empire,GraphSAGEPairNorm,1,65,0.003,0.44068941473960876,0.45410415530204773,1.493275745057557,17.346784591674805,0.1355217546224594,0.996342957019806
Roman-Empire,GraphSAGEPairNorm,1,83,0.003,0.45179879665374756,0.46954986453056335,1.5337238989919195,18.22137451171875,0.1423544883728027,0.9962311387062072
Roman-Empire,GraphSAGE,1,11,0.003,0.4577687680721283,0.4673433303833008,1.452062064425825,7.385412216186523,0.0576985329389572,0.850303053855896
Roman-Empire,GraphSAGE,1,29,0.003,0.45735347270965576,0.4721977114677429,1.654267893458765,6.8644561767578125,0.0536285638809204,0.8217760324478149
Roman-Empire,GraphSAGE,1,47,0.003,0.4736541509628296,0.48587819933891296,1.6447637850198502,7.194839954376221,0.0562096871435642,0.8618595004081726
Roman-Empire,GraphSAGE,1,65,0.003,0.4372631311416626,0.44439542293548584,1.7431862156116336,7.552345752716064,0.0590027011930942,0.8436195850372314
Roman-Empire,GraphSAGE,1,83,0.003,0.46706119179725647,0.4721977114677429,1.5267877824819214,8.151416778564453,0.0636829435825347,0.8459624648094177
Roman-Empire,GraphSAGEPairNorm,1,11,0.03,0.5970513224601746,0.6195939779281616,1.73065517248573,14.252883911132812,0.1113506555557251,0.9982944130897522
Roman-Empire,GraphSAGEPairNorm,1,29,0.03,0.6019311547279358,0.6187114119529724,1.69041282069515,14.57371425628662,0.1138571426272392,0.9968758821487428
Roman-Empire,GraphSAGEPairNorm,1,47,0.03,0.6053054928779602,0.6297440528869629,1.6145614875723804,15.73510456085205,0.1229305043816566,0.9982702732086182
