regime,dataset_raw,dataset,h,model,family,pairnorm,seed,split_idx,depth,epoch,layer_index,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance,class_separation_margin,fisher_discriminant_ratio
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,4,2400,3,convs.2,128,1.913600077799665,0.0259939096868038,0.7111185789108276,0.6989459693431854,1.5427238941192627
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,4,2400,3,convs.2,128,1.8891504233486804,0.0278400834649801,0.7062503099441528,0.684599906206131,1.4349150657653809
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,5,2400,4,convs.3,128,2.000782473684715,0.0276150126010179,0.795665442943573,0.7254074811935425,1.3031142950057983
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,5,2400,4,convs.3,128,1.964326352772802,0.0270077679306268,0.794580340385437,0.7698027193546295,1.33994722366333
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,5,2400,4,convs.3,128,2.0331036426767,0.0279104113578796,0.8411390781402588,0.7143233418464661,1.097149133682251
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,5,2400,4,convs.3,128,1.9245425797586728,0.0295088924467563,0.7568192481994629,0.7085474133491516,1.2801334857940674
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,5,2400,4,convs.3,128,1.9634418418728936,0.028707131743431,0.786085844039917,0.7351733148097992,1.3441855907440186
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,6,2400,5,convs.4,128,1.7310665272192216e-27,0.0078125,-1.1920928955078125e-07,0.0,0.0422119535505771
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,6,2400,5,convs.4,128,2.355004646953412e-25,0.0078125,0.0,0.0,1.019753336906433
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,6,2400,5,convs.4,128,3.472149287714002e-36,0.0078125,0.0,0.0,0.9232518076896667
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,6,2400,5,convs.4,128,1.7838173415424066,0.0306291785091161,0.8211493492126465,0.657289445400238,0.922835409641266
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,6,2400,5,convs.4,128,2.0149269780462915,0.030857378616929,0.8179495930671692,0.7390128672122955,1.172187089920044
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,7,2400,6,convs.5,128,0.0,0.0078125,-1.1920928955078125e-07,0.0,0.3798360824584961
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,7,2400,6,convs.5,128,5.8166004241768615e-34,0.0078125,0.0,0.0,1.1685601472854614
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,7,2400,6,convs.5,128,0.0,0.0078126797452569,0.0,0.0,1.1853535175323486
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,7,2400,6,convs.5,128,4.1750038777338085e-34,0.0078127924352884,0.0,0.0,1.017627835273743
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,7,2400,6,convs.5,128,8.360989632604569e-29,0.0078126462176442,-1.1920928955078125e-07,0.0,1.0481103658676147
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,8,2400,7,convs.6,128,7.0405568689725e-29,0.0078125,-1.1920928955078125e-07,0.0,1.0000284910202026
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,8,2400,7,convs.6,128,5.0344599991917725e-30,0.0078125,0.0,0.0,0.9938088059425354
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,8,2400,7,convs.6,128,2.107853571672265e-30,0.0078125,-1.1920928955078125e-07,0.0,0.9986990094184875
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,8,2400,7,convs.6,128,3.3956071204810123e-32,0.0078125,1.1920928955078125e-07,0.0,1.3930493593215942
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,8,2400,7,convs.6,128,2.5992511825413763e-25,0.0078125,1.1920928955078125e-07,0.0,0.6683328747749329
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,1,0,9,2400,8,convs.7,128,2.4242027197516755e-27,0.0078125,1.1920928955078125e-07,0.0,1.4145655632019043
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,2,0,9,2400,8,convs.7,128,9.335745419151252e-36,0.0078125,0.0,0.0,0.4698734283447265
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,3,0,9,2400,8,convs.7,128,4.808302010319398e-33,0.0078126275911927,1.1920928955078125e-07,0.0,0.9982646107673644
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,4,0,9,2400,8,convs.7,128,9.572187869863465e-32,0.0078125707805156,-1.1920928955078125e-07,0.0,1.0001620054244995
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGE,GraphSAGE,False,5,0,9,2400,8,convs.7,128,1.634659500598534e-33,0.0078125,-1.1920928955078125e-07,0.0,2.2622649669647217
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,1,0,2,2400,2,pns.0,128,1.6165658105134382,0.6720348000526428,0.9987385869026184,0.1556979417800903,0.1235502436757087
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,2,0,2,2400,2,pns.0,128,1.7254897043472737,0.6559642553329468,0.999711275100708,0.1487619876861572,0.1180392354726791
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,3,0,2,2400,2,pns.0,128,1.594562149300226,0.6883683800697327,0.9995949268341064,0.1306167244911193,0.1038426086306572
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,4,0,2,2400,2,pns.0,128,1.624304651374431,0.6696762442588806,0.9997854828834534,0.1446905732154846,0.1140190288424491
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,5,0,2,2400,2,pns.0,128,1.5492016985269863,0.6707202792167664,0.9994673132896424,0.1301787495613098,0.1000733003020286
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,1,0,4,2400,6,pns.2,128,2.262890895743412,0.0511236526072025,0.9950263500213624,0.2142547369003296,0.1466439515352249
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,2,0,4,2400,6,pns.2,128,2.360506835720788,0.0524478182196617,0.994874894618988,0.2631595730781555,0.1935324966907501
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,3,0,4,2400,6,pns.2,128,2.378116850476474,0.049684602767229,0.9944462776184082,0.1942542791366577,0.1332915723323822
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,4,0,4,2400,6,pns.2,128,2.179147509902269,0.0479638762772083,0.9969438314437866,0.2476869821548462,0.1868215054273605
lowlabel,RW-PubMed-H0.5-LOW,PubMed,0.5,GCNPairNorm,GCN,True,5,0,4,2400,6,pns.2,128,2.306947759388934,0.0488779731094837,0.9953973293304444,0.2317839860916137,0.1722837835550308
