dataset,model,graph_seed,init_seed,lr,best_epoch,best_val,test_best,source
Roman-Empire,GraphSAGEPairNorm,2,65,0.001,1842,0.35789939761161804,0.35440999269485474,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,83,0.001,2348,0.3605472147464752,0.36027616262435913,lr_sensitivity
Roman-Empire,GraphSAGE,2,11,0.001,173,0.4205648899078369,0.41961273550987244,lr_sensitivity
Roman-Empire,GraphSAGE,2,29,0.001,188,0.4298323094844818,0.432279497385025,lr_sensitivity
Roman-Empire,GraphSAGE,2,47,0.001,295,0.4205648899078369,0.4037792682647705,lr_sensitivity
Roman-Empire,GraphSAGE,2,65,0.001,134,0.394527792930603,0.3926698863506317,lr_sensitivity
Roman-Empire,GraphSAGE,2,83,0.001,189,0.4227713942527771,0.4224160313606262,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,11,0.003,1922,0.4558693766593933,0.46659398078918457,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,29,0.003,1592,0.4492497742176056,0.4470747113227844,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,47,0.003,786,0.4461606442928314,0.4404817521572113,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,65,0.003,2234,0.4730803370475769,0.4647251069545746,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,83,0.003,1699,0.44748455286026,0.4422987103462219,lr_sensitivity
Roman-Empire,GraphSAGE,2,11,0.003,2160,0.47793468832969666,0.4854903221130371,lr_sensitivity
Roman-Empire,GraphSAGE,2,29,0.003,2176,0.48587819933891296,0.48725536465644836,lr_sensitivity
Roman-Empire,GraphSAGE,2,47,0.003,1350,0.48587819933891296,0.4738098978996277,lr_sensitivity
Roman-Empire,GraphSAGE,2,65,0.003,2331,0.48808473348617554,0.48279082775115967,lr_sensitivity
Roman-Empire,GraphSAGE,2,83,0.003,184,0.4382171332836151,0.44286975264549255,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,11,0.03,158,0.6125330924987793,0.6139230728149414,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,29,0.03,1215,0.6076787114143372,0.5993874073028564,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,47,0.03,1860,0.6191527247428894,0.6161553263664246,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,65,0.03,202,0.6142983436584473,0.6114312410354614,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,2,83,0.03,114,0.6191527247428894,0.6040076613426208,lr_sensitivity
Roman-Empire,GraphSAGE,2,11,0.03,11,0.13945278525352478,0.13959403336048126,lr_sensitivity
Roman-Empire,GraphSAGE,2,29,0.03,18,0.14298322796821594,0.14208586513996124,lr_sensitivity
Roman-Empire,GraphSAGE,2,47,0.03,15,0.14033539593219757,0.14141099154949188,lr_sensitivity
Roman-Empire,GraphSAGE,2,65,0.03,2293,0.4315975308418274,0.42080673575401306,lr_sensitivity
Roman-Empire,GraphSAGE,2,83,0.03,2365,0.45233893394470215,0.4441675841808319,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,11,0.001,2223,0.342894971370697,0.3464154005050659,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,29,0.001,1771,0.3623124361038208,0.36562320590019226,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,47,0.001,2372,0.3614298403263092,0.3571094870567322,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,65,0.001,2326,0.343777596950531,0.33696722984313965,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,83,0.001,260,0.3521623909473419,0.3518143594264984,lr_sensitivity
Roman-Empire,GraphSAGE,3,11,0.001,176,0.4121800661087036,0.41525202989578247,lr_sensitivity
Roman-Empire,GraphSAGE,3,29,0.001,198,0.4240953326225281,0.4250635802745819,lr_sensitivity
Roman-Empire,GraphSAGE,3,47,0.001,192,0.4055604636669159,0.4082956910133362,lr_sensitivity
Roman-Empire,GraphSAGE,3,65,0.001,210,0.394527792930603,0.39536935091018677,lr_sensitivity
Roman-Empire,GraphSAGE,3,83,0.001,193,0.41703441739082336,0.4159788191318512,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,11,0.003,1109,0.47793468832969666,0.48175257444381714,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,29,0.003,2299,0.4545454680919647,0.4596376419067383,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,47,0.003,1930,0.47749337553977966,0.4806104898452759,lr_sensitivity
Roman-Empire,GraphSAGEPairNorm,3,65,0.003,2335,0.4924978017807007,0.4931734502315521,lr_sensitivity
