dataset,h,feature_signal,variant,model,graph_seed,init_seed,lr,test_acc,epoch,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,5,83,0.03,0.9999999403953552,200,2.722648077642459,1.342848539352417,0.0104910042136907,0.7372585535049438,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,1,11,0.03,0.9994117021560669,200,3.630890146756897,1.4257560968399048,0.0111387195065617,1.0004727840423584,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,1,29,0.03,0.9999999403953552,200,3.629955489200367,1.634890913963318,0.0127725852653384,1.0004900693893433,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,1,47,0.03,0.9994117021560669,200,3.627127997074564,1.951547622680664,0.0152464658021926,1.0004551410675049,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,1,65,0.03,0.9982352256774902,200,3.5668681805480453,2.166605234146118,0.0169266033917665,0.9998711943626404,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,1,83,0.03,0.9994117021560669,200,3.625102521162275,1.7939903736114502,0.0140155497938394,1.0004411935806274,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,2,11,0.03,0.9999999403953552,200,3.5503629746756973,2.5781614780426025,0.0201418865472078,0.9998779296875,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,2,29,0.03,0.9994117021560669,200,3.5959310093374017,2.1018474102020264,0.0164206828922033,1.000065565109253,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,2,47,0.03,0.9894117116928101,200,3.577232120398445,2.099468946456909,0.0164021011441946,0.999657154083252,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,2,65,0.03,0.9999999403953552,200,3.501385530283478,2.2324440479278564,0.0174409691244363,0.9962118864059448,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,2,83,0.03,0.9988234639167786,200,3.6331255597295713,1.4250304698944092,0.01113305054605,1.0004717111587524,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,3,11,0.03,0.994705855846405,200,3.6358831085971945,1.5888937711715698,0.0124132325872778,1.000485897064209,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,3,29,0.03,0.9994117021560669,200,3.62864501720714,1.7049508094787598,0.0133199281990528,1.000414490699768,csbm_l8_pairnorm_lr_sensitivity_fs050
cSBM,0.1,0.5,full,GraphSAGEPairNorm,3,47,0.03,0.9999999403953552,200,3.6187793499987633,1.8863000869750977,0.0147367194294929,1.0004429817199707,csbm_l8_pairnorm_lr_sensitivity_fs050
