dataset,model,depth,graph_seed,seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,5,5,5,0,2297,0.9310170412063599,0.9272311925888062,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,6,1,1,0,412,0.933553159236908,0.9186105132102966,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,6,2,2,0,564,0.9277200698852539,0.9259634613990784,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,6,3,3,0,342,0.925183892250061,0.923935055732727,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,6,4,4,0,755,0.9368501305580139,0.9272311925888062,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,6,5,5,0,760,0.9310170412063599,0.9272311925888062,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,7,1,1,0,2341,0.9343140125274658,0.9191176295280457,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,7,2,2,0,240,0.9282272458076477,0.9262170195579529,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,7,3,3,0,433,0.926959216594696,0.9226673245429993,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,7,4,4,0,1761,0.9373573660850525,0.9292595982551575,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,7,5,5,0,2357,0.9330459237098694,0.9267241358757019,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,8,1,1,0,1298,0.9343140125274658,0.9165821075439453,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,8,2,2,0,205,0.9279736876487732,0.9208924770355225,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,8,3,3,0,346,0.9261983633041382,0.9224137663841248,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,8,4,4,0,202,0.9371037483215332,0.9284989833831787,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GraphSAGEPairNorm,8,5,5,0,477,0.9343140125274658,0.9277383089065552,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GraphSAGE,2,1,1,0,2374,0.9236622452735901,0.9003549218177795,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GraphSAGE,2,2,2,0,473,0.912503182888031,0.9112575650215149,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GraphSAGE,2,3,3,0,2174,0.9168146252632141,0.9143002033233643,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GraphSAGE,2,4,4,0,1028,0.9198580384254456,0.9143002033233643,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
