dataset,model,architecture,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,best_epoch,nearest_best_metric_epoch,best_test_acc,best_val_acc,best_hidden_pairwise_distance,best_hidden_edge_distance,best_hidden_rank_ratio,best_hidden_normalized_dirichlet,final_hidden_pairwise_distance,final_hidden_edge_distance,final_hidden_rank_ratio,final_hidden_normalized_dirichlet
CSBM-H0.5,GCNPairNorm,GCN,True,4,128,3,3,0,0.5,0.4970986545085907,3,2,0.550000011920929,0.5949999690055847,1.000544548034668,0.7948209047317505,0.6082348227500916,1.5684678069685112,0.9985089898109436,0.878061056137085,0.0786639302968978,1.7240328138334289
CSBM-H0.5,GCNPairNorm,GCN,True,5,128,3,3,0,0.5,0.4970986545085907,9,8,0.5099999904632568,0.5625,0.9986348748207092,0.807699978351593,0.1159559041261673,1.4215744421063723,1.000253200531006,0.8486587405204773,0.0535609796643257,1.6151686690988707
CSBM-H0.5,GCNPairNorm,GCN,True,6,128,3,3,0,0.5,0.4970986545085907,2,2,0.5550000071525574,0.5774999856948853,1.0004839897155762,0.7243605852127075,0.5571193695068359,1.3955339682069534,0.9989379048347472,0.8314269781112671,0.0317696370184421,1.5884417918049432
CSBM-H0.5,GCNPairNorm,GCN,True,7,128,3,3,0,0.5,0.4970986545085907,6,4,0.5424999594688416,0.574999988079071,0.9933338761329652,0.7530439496040344,0.2182716131210327,1.3031115332018857,0.9975282549858092,0.8162710070610046,0.0250321980565786,1.5270437627265747
CSBM-H0.5,GCNPairNorm,GCN,True,8,128,3,3,0,0.5,0.4970986545085907,40,32,0.5525000095367432,0.5600000023841858,0.9927627444267272,0.8164422512054443,0.0155888171866536,1.4643679057100525,0.997574746608734,0.8407235741615295,0.02425167709589,1.5617627110237933
CSBM-H0.5,GraphSAGE,GraphSAGE,False,2,128,3,3,0,0.5,0.4970986545085907,9,8,0.6524999737739563,0.6649999618530273,0.9822441339492798,0.9826582074165344,0.6141905188560486,1.965165414792974,0.8255132436752319,0.8250044584274292,0.5494301915168762,1.6541559747680286
CSBM-H0.5,GraphSAGE,GraphSAGE,False,3,128,3,3,0,0.5,0.4970986545085907,11,8,0.6699999570846558,0.6725000143051147,0.0395845770835876,0.0394376628100872,0.6070619225502014,0.1019265337950284,0.3899168372154236,0.392085313796997,0.2053819596767425,0.96525588594145
CSBM-H0.5,GraphSAGE,GraphSAGE,False,4,128,3,3,0,0.5,0.4970986545085907,11,8,0.6574999690055847,0.6825000047683716,0.0765510201454162,0.0785621106624603,0.0725500807166099,0.2650883784067988,0.7465517520904541,0.7391974329948425,0.0204748213291168,1.4520784100535238
CSBM-H0.5,GraphSAGE,GraphSAGE,False,5,128,3,3,0,0.5,0.4970986545085907,18,16,0.6624999642372131,0.6674999594688416,0.0325401425361633,0.0335324816405773,0.0375587865710258,0.0710124645865395,0.7408613562583923,0.7361575961112976,0.0149693731218576,1.5680141356277126
CSBM-H0.5,GraphSAGE,GraphSAGE,False,6,128,3,3,0,0.5,0.4970986545085907,1,1,0.5,0.5,0.0005896091461181,0.0005803753738291,0.4156543314456939,0.001506570833666,1.1920928955078125e-07,4.171113232587231e-09,0.0173680018633604,1.5032683229207884e-10
