dataset,model,depth,graph_seed,init_seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,2,47,0,1861,0.8544624447822571,0.839847207069397,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,2,65,0,1024,0.8559837341308594,0.8412792682647705,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,8,2,83,0,1710,0.8509127497673035,0.8323288559913635,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,2,11,0,1894,0.842799186706543,0.8324482440948486,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,2,29,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,2,47,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,2,65,0,1668,0.8569979667663574,0.8446804285049438,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,7,2,83,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,2,11,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,2,29,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,2,47,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,2,65,0,1,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.1-LOW,GraphSAGE,8,2,83,0,2,0.3995943069458008,0.39936748147010803,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed2.pt
RW-PubMed-H0.5-LOW,GraphSAGEPairNorm,7,2,11,0,1215,0.7951318025588989,0.7743898630142212,realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h05_seed2.pt
