dataset,model,depth,seed,best_epoch,best_val,test_best,target_h,realized_h
RW-PubMed-H0.9-LOW,GCNPairNorm,8,1,822,0.9107505083084106,0.8888955116271973,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,8,2,2268,0.8955374956130981,0.8844202756881714,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,8,3,7,0.9011155962944031,0.8974878787994385,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,8,4,13,0.9026368856430054,0.8999343514442444,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCNPairNorm,8,5,13,0.8940162062644958,0.8946834206581116,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,2,1,1073,0.9219066500663757,0.9090637564659119,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,2,2,1220,0.9163285493850708,0.9053642749786377,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,2,3,358,0.9143002033233643,0.9049465656280518,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,2,4,94,0.9153143763542175,0.9102571606636047,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,2,5,895,0.9097362756729126,0.9103764891624451,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,4,1,2246,0.9168356657028198,0.9039322137832642,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,4,2,1857,0.9112575650215149,0.9017243981361389,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,4,3,361,0.9097362756729126,0.9019034504890442,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,4,4,182,0.9153143763542175,0.9084073901176453,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,4,5,136,0.9001014232635498,0.9034548401832581,0.9,0.8999864459037781
RW-PubMed-H0.9-LOW,GCN,8,1,1548,0.9137930870056152,0.896533191204071,0.9,0.8999864459037781
