dataset,model,uses_pairnorm,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,feature_signal,best_epoch,nearest_best_metric_epoch,final_metric_epoch,best_train_acc,best_val_acc,best_test_acc,best_pairwise_distance,best_edge_distance,best_rank_ratio,best_normalized_dirichlet,final_pairwise_distance,final_edge_distance,final_rank_ratio,final_normalized_dirichlet
CSBM-H0.1-FS0.50-TR0.05,GraphSAGE,False,8,128,5,5,0,0.1,0.10260676592588425,0.5,1,1,200,0.5,0.5,0.4999999701976776,5.7637691497802734e-05,5.5758613598300144e-05,0.3124091327190399,0.0001405612939089,1.788139343261719e-07,0.0,0.0082389349117875,3.4690859541163817e-18
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,2,128,5,5,0,0.1,0.10260676592588425,0.5,104,100,200,1.0,0.7999999523162842,0.8199999928474426,1.0005123615264893,1.08303701877594,0.4550769925117492,2.180245179449396,1.0004115104675293,1.0678112506866455,0.4149513244628906,2.1453812576677738
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,7,128,5,5,0,0.1,0.10260676592588425,0.5,4,4,200,1.0,1.0,0.9988234639167786,0.9976245760917664,1.6887091398239136,0.3519949615001678,3.3827898276021564,0.9905864000320436,1.6225125789642334,0.0267498269677162,3.3204946352169884
CSBM-H0.1-FS0.50-TR0.05,GraphSAGEPairNorm,True,8,128,5,5,0,0.1,0.10260676592588425,0.5,4,4,200,0.9899999499320984,1.0,0.9999999403953552,0.9994807243347168,1.718736171722412,0.330814391374588,3.452670941087946,0.994428277015686,1.6165733337402344,0.0204272475093603,3.3774835984479963
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,2,128,1,1,0,0.5,0.49922752380371094,0.25,5,4,200,0.9399999976158142,0.5399999618530273,0.5117647051811218,0.9859475493431092,0.9834903478622437,0.6485251784324646,1.9622215876507287,0.990703821182251,0.9881735444068908,0.4169131219387054,1.9789618309249977
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,7,128,1,1,0,0.5,0.49922752380371094,0.25,53,50,200,1.0,0.5600000023841858,0.4958823323249817,0.3030334115028381,0.2809511125087738,0.0144208082929253,1.2073822598253092,0.4279571771621704,0.3938992619514465,0.0175844877958297,1.5494169003441138
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,8,128,1,1,0,0.5,0.49922752380371094,0.25,21,16,200,0.6599999666213989,0.5249999761581421,0.5158823132514954,1.430511474609375e-06,1.0177674312217275e-06,0.0183031819760799,3.996949569044396e-06,0.0,0.0,0.0078127002343535,0.0
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,1,1,0,0.5,0.49922752380371094,0.25,127,150,200,1.0,0.5550000071525574,0.5035293698310852,1.0005122423171997,0.9908737540245056,0.4271533787250519,1.966933222834177,1.000722885131836,0.9914144277572632,0.4062235355377197,1.9697298805134704
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,7,128,1,1,0,0.5,0.49922752380371094,0.25,78,100,200,1.0,0.6049999594688416,0.49470585584640503,0.9911763668060304,0.8840427398681641,0.0271243676543235,1.6085103633536622,0.9907560348510742,0.8623524308204651,0.0262463875114917,1.6039180199161382
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,8,128,1,1,0,0.5,0.49922752380371094,0.25,7,8,200,0.7299999594688416,0.5600000023841858,0.5194117426872253,0.9849885106086732,0.97439843416214,0.6011073589324951,1.9340526370784945,0.9991390705108644,0.8505925536155701,0.0205496102571487,1.5391319482318468
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,2,128,2,2,0,0.5,0.5004213452339172,0.25,196,200,200,1.0,0.5349999666213989,0.49176469445228577,0.9881938099861144,0.9867803454399108,0.4396923184394836,1.9666086131406584,0.9881938099861144,0.9867803454399108,0.4396923184394836,1.9666086131406584
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,7,128,2,2,0,0.5,0.5004213452339172,0.25,1,1,200,0.5,0.5,0.4999999701976776,0.0001133680343627,0.0001096383639378,0.3792216181755066,0.0002856250134158,0.0,6.550513020897597e-09,0.0132387727499008,2.925491893901928e-10
CSBM-H0.5-FS0.25-TR0.05,GraphSAGE,False,8,128,2,2,0,0.5,0.5004213452339172,0.25,181,200,200,1.0,0.5849999785423279,0.48176467418670654,0.3936336636543274,0.4450947344303131,0.0229071211069822,1.461108193705679,0.3936336636543274,0.4450947344303131,0.0229071211069822,1.461108193705679
CSBM-H0.5-FS0.25-TR0.05,GraphSAGEPairNorm,True,2,128,2,2,0,0.5,0.5004213452339172,0.25,5,4,200,0.9399999976158142,0.574999988079071,0.48588234186172485,1.000528335571289,1.0008032321929932,0.6316807866096497,1.9958251702264456,1.0002044439315796,1.001161813735962,0.4231538474559784,1.9842328931289277
