model,distance,width,graph_seed,init_seed,layers,best_epoch,test_acc,matched_influence,distractor_influence,specificity
GraphSAGERewired,2,1,1,29,2,2,1.0,0.08578283234965056,0.0006193635886120319,0.9928316221262776
GraphSAGERewired,2,1,1,47,2,2,1.0,0.04617409882484935,0.000452432681250059,0.9902966687071465
GraphSAGERewired,2,1,2,11,2,1,1.0,0.0125426189611062,0.0002469319362603528,0.9806926811408295
GraphSAGERewired,2,1,2,29,2,2,1.0,0.08551050920505077,0.0006784523733358583,0.9921283147876082
GraphSAGERewired,2,1,2,47,2,2,1.0,0.04468718575662933,0.00048730282276210346,0.9892128756943223
GraphSAGERewired,2,1,3,11,2,2,1.0,0.04444558329851134,0.0003866517792516788,0.9913755854560364
GraphSAGERewired,2,1,3,29,2,1,1.0,0.02593582108966075,0.0003788984743664514,0.9856012725337946
GraphSAGERewired,2,1,3,47,2,2,1.0,0.04490012806490995,0.0004638454034022743,0.9897750269888493
GraphSAGERewired,2,1,4,11,2,1,1.0,0.01424694162551532,0.0002618365324167371,0.9819532333771647
GraphSAGERewired,2,1,4,29,2,1,1.0,0.02697923507366795,0.0003843865270027891,0.9859526442223818
GraphSAGERewired,2,1,4,47,2,2,1.0,0.04296814054396236,0.00048499276601887686,0.9888387158746891
GraphSAGERewired,2,1,5,11,2,2,1.0,0.042771319265739294,0.000385537851201434,0.9910665910831314
GraphSAGERewired,2,1,5,29,2,1,1.0,0.026243608983349986,0.0003851731279382875,0.9855354583129605
GraphSAGERewired,2,1,5,47,2,2,1.0,0.041761640070035355,0.0005493372735827506,0.9870166725266482
GraphSAGE,2,2,1,11,2,400,0.9186197916666666,3.1639265194535255,0.6157775111496449,0.8370831403293195
GraphSAGE,2,2,1,29,2,400,0.9469401041666666,3.837528735399246,0.5168384895659983,0.8813057184052718
GraphSAGE,2,2,1,47,2,397,0.9322916666666666,3.2990737855434418,0.4753750409872737,0.8740544479907312
GraphSAGE,2,2,2,11,2,390,0.9013671875,2.8437957484275103,0.5850383653887548,0.8293768826458504
GraphSAGE,2,2,2,29,2,372,0.9283854166666666,3.7765861935913563,0.5943391243927181,0.8640244156201463
GraphSAGE,2,2,2,47,2,398,0.8863932291666666,2.2491763634607196,0.39448463794542477,0.8507809292732873
GraphSAGE,2,2,3,11,2,383,0.9088541666666666,2.7364705111831427,0.516632650513202,0.8411877444905119
GraphSAGE,2,2,3,29,2,398,0.9466145833333334,4.243250697851181,0.7537619590875693,0.8491574845139206
GraphSAGE,2,2,3,47,2,390,0.9208984375,3.111758606508374,0.5857927446486428,0.8415727899313199
GraphSAGE,2,2,4,11,2,400,0.9176432291666666,2.9807463213801384,0.5543986769625917,0.8431751237294832
GraphSAGE,2,2,4,29,2,400,0.9671223958333334,4.434168864041567,0.558808425324969,0.8880811201533116
GraphSAGE,2,2,4,47,2,397,0.8977864583333334,2.7731041088700294,0.4612478914204985,0.8573909421794771
GraphSAGE,2,2,5,11,2,381,0.9329427083333334,3.5893131643533707,0.4969695224717725,0.8783810224204597
