model_base,distance,width,graph_seed,n_init_base,test_acc_base,matched_influence_base,distractor_influence_base,specificity_base,model_rewired,n_init_rewired,test_acc_rewired,matched_influence_rewired,distractor_influence_rewired,specificity_rewired,accuracy_gain_pp,specificity_gain
GraphSAGE,6,4,3,3,0.6343315972222222,0.03757779126302315,0.03856195861529462,0.5029526923117886,GraphSAGERewired,3,1.0,0.01734824884745952,6.124833431246184e-05,0.9957863093389906,36.56684027777778,0.49283361702720196
GraphSAGE,6,4,4,3,0.7078993055555555,2.3887437167577446,1.1471166675522302,0.5603086163019877,GraphSAGERewired,3,1.0,0.014013437932817396,4.863331150180746e-05,0.9960283798248183,29.210069444444454,0.4357197635228306
GraphSAGE,6,4,5,3,0.7361111111111112,1.7959911662425536,0.8028781337100858,0.62510841053173,GraphSAGERewired,3,1.0,0.016786879003878614,5.28547930767805e-05,0.9960859996822319,26.388888888888886,0.37097758915050183
GraphSAGE,6,8,1,3,0.8942057291666666,5.525225416136284,3.4099065194798945,0.5861440626197646,GraphSAGERewired,3,1.0,0.011163949147658059,0.0001745562828432412,0.9753625825034034,10.579427083333337,0.38921851988363876
GraphSAGE,6,8,2,3,0.8224826388888888,4.194180473078025,2.2852841221306335,0.5886653855414542,GraphSAGERewired,3,1.0,0.01496599527225347,0.00019050816020182992,0.9866984963544126,17.751736111111114,0.39803311081295845
GraphSAGE,6,8,3,3,0.7774522569444445,2.5219289369027442,0.9988767103447268,0.5745516443778533,GraphSAGERewired,3,1.0,0.01810099343189601,0.00020831871342015992,0.9869849747136085,22.254774305555546,0.41243333033575513
GraphSAGE,6,8,4,3,0.8785807291666666,5.128415500182503,3.2929991340691536,0.5737155804861317,GraphSAGERewired,3,1.0,0.013787896050265166,0.0001036116458313548,0.9906169444680216,12.141927083333337,0.4169013639818899
GraphSAGE,6,8,5,3,0.7947048611111112,3.0312605813766518,1.5352344447746873,0.5694881291352489,GraphSAGERewired,3,1.0,0.01764532755419168,0.00019802687292506485,0.9868758632485518,20.529513888888886,0.4173877341133029
GraphSAGE,8,1,1,3,0.5651041666666666,0.01583422990612841,0.01582525264529977,0.5002474625064849,GraphSAGERewired,3,1.0,0.021085579223229917,2.23218713231906e-06,0.9998059649384831,43.489583333333336,0.4995585024319982
GraphSAGE,8,1,2,3,0.5667317708333334,0.016174699791008607,0.01592051191740514,0.5043583891390581,GraphSAGERewired,3,1.0,0.020231458355927618,1.8258026393177158e-06,0.9997922773725026,43.326822916666664,0.4954338882334446
GraphSAGE,8,1,3,3,0.5735677083333334,0.012968563897326627,0.012801105454703551,0.5063727153214393,GraphSAGERewired,3,1.0,0.01577207962812584,2.0901821536541596e-06,0.9998531722257057,42.643229166666664,0.49348045690426634
GraphSAGE,8,1,4,3,0.5733506944444445,0.015924653276594352,0.014539209459362231,0.5156485738563649,GraphSAGERewired,3,1.0,0.014993322626348041,2.4543298778508435e-06,0.9997998692677875,42.66493055555555,0.48415129541142266
GraphSAGE,8,1,5,3,0.5649956597222222,0.014739977986513017,0.01477127380106443,0.4991851923996971,GraphSAGERewired,3,1.0,0.011063014323250778,2.3065370546859754e-06,0.9997679564484291,43.50043402777778,0.5005827640487319
