model,distance,width,n_graphs,accuracy_mean,accuracy_sd,specificity_mean,specificity_sd,influence_mean,influence_sd
GraphSAGERewired,4,1,5,1.0,0.0,0.9972010622028975,0.0016039843078560435,0.043733688954065,0.019917910508209236
GraphSAGERewired,4,2,5,0.999826388888889,0.0002829514932813549,0.9939704141496032,0.002195003003849779,0.04379058927473424,0.01607078289161861
GraphSAGERewired,4,4,5,1.0,0.0,0.9871852973765998,0.004829926054505615,0.04859460182645608,0.013702447841000477
GraphSAGERewired,4,8,5,1.0,0.0,0.9622450520587817,0.009379712039538211,0.03827835993973468,0.01942124075423431
GraphSAGERewired,6,1,5,1.0,0.0,0.9989853967494604,0.0006002546547218562,0.0146003217569462,0.002851037077379482
GraphSAGERewired,6,2,5,1.0,0.0,0.9979805059982066,0.0012300393186881803,0.014612457083054139,0.0026894466521000097
GraphSAGERewired,6,4,5,1.0,0.0,0.9948685300122582,0.002751170840255209,0.01901917213504016,0.00755887723093249
GraphSAGERewired,6,8,5,1.0,0.0,0.9853077722575996,0.005794396857195111,0.015132832291252821,0.0028596911762398375
GraphSAGERewired,8,1,5,1.0,0.0,0.9998038480505815,3.1125848883356983e-05,0.0166290908313764,0.004099657122432735
GraphSAGERewired,8,2,5,1.0,0.0,0.9996003527872993,6.10428098974277e-05,0.018442562874956,0.008336055074041985
GraphSAGERewired,8,4,5,1.0,0.0,0.9988632788298126,0.00038063337153346845,0.01482447445974148,0.004095272351618475
GraphSAGERewired,8,8,5,1.0,0.0,0.9955919771122634,0.0013541971938151804,0.01439745780987772,0.004363086363605372
GraphSAGERewired,10,1,5,1.0,0.0,0.9999668114410796,1.6978621742222298e-05,0.01588698544804472,0.00938845059096172
GraphSAGERewired,10,2,5,1.0,0.0,0.9999481131493544,3.114226374644221e-05,0.0207475869616852,0.016110481979947834
GraphSAGERewired,10,4,5,1.0,0.0,0.9998770186085203,5.7079560033964075e-05,0.012672977697820862,0.006509630222414993
GraphSAGERewired,10,8,5,1.0,0.0,0.9996506995974539,0.00012777095380091317,0.01351657711869236,0.006888294372435755
